Sff, 0, 379833, 16
Sdf, 0, 687270, 32
Sff, 0, 759531, 32
Sdf, 1, 321058, 64
Sff, 1, 521430, 64
Sdf, 2, 592598, 128
Sff, 3, 45737, 128
Sdf, 5, 127001, 256
Sff, 6, 93865, 256
Sdf, 10, 190046, 512
Sff, 12, 172148, 512
Sdf, 20, 335907, 1024
Sff, 24, 345350, 1024
Sdf, 0, 30848, 1
Sff, 0, 29624, 1
Sdf, 0, 41228, 2
Sff, 0, 47483, 2
Sdf, 0, 78080, 4
Sff, 0, 94926, 4
Sdf, 0, 149142, 8
Sff, 0, 189939, 8
Sdf, 0, 298810, 16
Sff, 0, 380292, 16
Sdf, 0, 677748, 32
Sff, 0, 759052, 32
Sdf, 1, 310940, 64
Sff, 1, 519430, 64
Sdf, 2, 579902, 128
Sff, 3, 37625, 128
Sdf, 5, 105140, 256
Sff, 6, 75728, 256
Sdf, 10, 167258, 512
Sff, 12, 137243, 512
Sdf, 20, 548726, 1024
Sff, 25, 786410, 1024
Sdf, 0, 56442, 1
Sff, 0, 38424, 1
Sdf, 0, 78312, 2
Sff, 0, 65312, 2
Sdf, 0, 109436, 4
Sff, 0, 94841, 4
Sdf, 0, 149001, 8
Sff, 0, 189703, 8
Sdf, 0, 298433, 16
Sff, 0, 379458, 16
Sdf, 0, 676642, 32
Sff, 0, 759472, 32
Sdf, 1, 313005, 64
Sff, 1, 521136, 64
Sdf, 2, 577290, 128
Sff, 3, 39689, 128
Sdf, 5, 112727, 256
Sff, 6, 83734, 256
Sdf, 13, 665341, 512
Sff, 12, 170188, 512
Sdf, 20, 272471, 1024
Sff, 24, 349510, 1024
Sdf, 0, 52991, 1
Sff, 0, 38835, 1
Sdf, 0, 78485, 2
Sff, 0, 65891, 2
Sdf, 0, 139998, 4
Sff, 0, 134743, 4
Sdf, 0, 259867, 8
Sff, 0, 266765, 8
Sdf, 0, 499906, 16
Sff, 0, 481781, 16
Sdf, 0, 663033, 32
Sff, 0, 761541, 32
Sdf, 1, 299503, 64
Sff, 1, 524442, 64
Sdf, 2, 579178, 128
Sff, 3, 43372, 128
Sdf, 5, 110784, 256
Sff, 6, 89051, 256
Sdf, 10, 165186, 512
Sff, 12, 158277, 512
Sdf, 20, 315054, 1024
Sff, 24, 354537, 1024
Sdf, 0, 30056, 1
Sff, 0, 29120, 1
Sdf, 0, 41145, 2
Sff, 0, 47410, 2
Sdf, 0, 78397, 4
Sff, 0, 94829, 4
Sdf, 0, 149469, 8
Sff, 0, 189676, 8
Sdf, 0, 299126, 16
Sff, 0, 379378, 16
Sdf, 0, 666026, 32
Sff, 0, 758361, 32
Sdf, 1, 295508, 64
Sff, 1, 516447, 64
Sdf, 2, 555637, 128
Sff, 3, 33127, 128
Sdf, 5, 86397, 256
Sff, 6, 83787, 256
Sdf, 10, 170260, 512
Sff, 12, 162003, 512
Sdf, 20, 258617, 1024
Sff, 24, 328992, 1024
Sdf, 0, 30588, 1
Sff, 0, 29507, 1
Sdf, 0, 41174, 2
Sff, 0, 47578, 2
Sdf, 0, 78098, 4
Sff, 0, 95196, 4
Sdf, 0, 149332, 8
Sff, 0, 190378, 8
Sdf, 0, 298809, 16
Sff, 0, 380958, 16
Sdf, 0, 677699, 32
Sff, 0, 761580, 32
Sdf, 1, 313240, 64
Sff, 1, 522438, 64
Sdf, 2, 586380, 128
Sff, 3, 51801, 128
Sdf, 5, 125462, 256
Sff, 6, 97254, 256
Sdf, 10, 193771, 512
Sff, 12, 176907, 512
Sdf, 20, 260274, 1024
Sff, 24, 324918, 1024
Sdf, 0, 30612, 1
Sff, 0, 29317, 1
Sdf, 0, 41174, 2
Sff, 0, 47474, 2
Sdf, 0, 78094, 4
Sff, 0, 94983, 4
Sdf, 0, 149358, 8
Sff, 0, 189902, 8
Sdf, 0, 298385, 16
Sff, 0, 379802, 16
Sdf, 0, 686831, 32
Sff, 0, 758290, 32
Sdf, 1, 320753, 64
Sff, 1, 518268, 64
Sdf, 2, 590274, 128
Sff, 3, 34760, 128
Sdf, 5, 106469, 256
Sff, 6, 66651, 256
Sdf, 10, 160951, 512
Sff, 12, 167149, 512
Sdf, 20, 382052, 1024
Sff, 24, 317590, 1024
Sdf, 0, 30887, 1
Sff, 0, 29430, 1
Sdf, 0, 41106, 2
Sff, 0, 47477, 2
Sdf, 0, 78089, 4
Sff, 0, 94876, 4
Sdf, 0, 149385, 8
Sff, 0, 189771, 8
Sdf, 0, 298215, 16
Sff, 0, 379492, 16
Sdf, 0, 686458, 32
Sff, 0, 758509, 32
Sdf, 1, 318823, 64
Sff, 1, 516898, 64
Sdf, 2, 585475, 128
Sff, 3, 34280, 128
Sdf, 5, 115240, 256
Sff, 6, 74930, 256
Sdf, 10, 184948, 512
Sff, 12, 163949, 512
Sdf, 20, 353126, 1024
Sff, 24, 288795, 1024
Sdf, 0, 30755, 1
Sff, 0, 29389, 1
Sdf, 0, 41159, 2
Sff, 0, 47388, 2
Sdf, 0, 78065, 4
Sff, 0, 94751, 4
Sdf, 0, 149383, 8
Sff, 0, 189628, 8
Sdf, 0, 298074, 16
Sff, 0, 379110, 16
Sdf, 0, 686426, 32
Sff, 0, 759340, 32
Sdf, 1, 321481, 64
